Plot;Treatment;Basalt_type_exp;Dose_response_exp.;Sampled_on;Daysafterstart;EC;unit;EC_µS_cm;pH;DOC_raw;DOC;DIC_raw;DIC_minus_blanks;DIC;DTC_raw;DTC;Unit;measured_pH_EC_on;measured_by;Notes;Alkalinity_mg_l_CaCO3;Alkalinity_meq_l;Alk_meq_l_corr;NH4-N_mgN_l;NO2-N_mgN_l;NO3-N_mgN_l;PO4-P_mgP_l;SO4_mgSO4_l;Cl_mgCl_l;Ca_mg_l;Fe_mg_l;K_mg_l;Mg_mg_l;Na_mg_l;Ni_mg_l;P_mg_l;Al_mg_l;Si_mg_l
21;Eifelgold_50;Y;N;20/06/2023;28;817.5;µS/cm;817.50;7.40;21.832;18.475;1.654;4.38;4.38;23.485;22.854;mg/l;5/jul/23;Lien;;16;0.32;0.32;1.19;0.0008;35.12;0.40;22;131;72.7;0.044;30.6;26.1;18.3;0.006;0.68;0.011;6.1
1;Control;Y;Y;25/07/2023;63;219.9;µs/cm;219.90;7.51;35.652;32.123;0.3885;3.5615;3.5615;36.0405;35.6845;mg/l;28/jul/23;Lien;;33;0.7;0.65;;;;;;;;;;;;;;;
2;Eifelgold_50;Y;N;25/07/2023;63;;;;;;;;;;;;;28/jul/23;Lien;;;;;;;;;;;;;;;;;;;
3;Huhnerberg_02;N;Y;25/07/2023;63;265.2;µs/cm;265.20;7.73;37.397;33.868;2.5785;5.7515;5.7515;39.975;39.619;mg/l;28/jul/23;Lien;;55;1.1;1.10;;;;;;;;;;;;;;;
4;Bolsdorfer_50;Y;N;25/07/2023;63;116.5;µs/cm;116.50;7.04;27.793;24.264;2.462;5.635;5.635;30.2555;29.8995;mg/l;28/jul/23;Lien;;44;0.9;0.89;0.260;0.0008;2.00;0.31;<4;4.1;8.01;0.139;9.56;2.21;7.64;<0,001;;0.227;5.006
5;Huhnerberg_04;N;Y;25/07/2023;63;101.9;µs/cm;101.90;7.14;23.359;19.83;0.7735;3.9465;3.9465;24.1325;23.7765;mg/l;28/jul/23;Lien;;36;0.7;0.71;0.511;0.0005;2.73;0.36;<4;5.4;11.21;0.108;6.19;2.94;2.74;<0,001;;0.228;2.312
6;Lime_02;Y;N;25/07/2023;63;146.3;µs/cm;146.30;7.26;21.77;18.241;1.389;4.562;4.562;23.159;22.803;mg/l;28/jul/23;Lien;;40;0.8;0.80;0.734;0.0004;6.02;0.52;<4;6.2;14.67;0.075;11.00;3.10;2.37;<0,001;;0.094;2.679
7;Huhnerberg_08;N;Y;25/07/2023;63;116.4;µs/cm;116.40;6.99;40.217;36.688;2.193;5.366;5.366;42.4095;42.0535;mg/l;28/jul/23;Lien;;48;1.0;0.95;0.066;0.0006;0.81;0.06;<4;6.2;11.30;0.169;8.71;2.83;5.66;<0,001;;0.460;2.399
8;Huhnerberg_12;N;Y;25/07/2023;63;102.5;µs/cm;102.50;7.07;28.503;24.974;2.6125;5.7855;5.7855;31.115;30.759;mg/l;28/jul/23;Lien;;41;0.8;0.83;0.118;0.0006;0.70;0.44;<4;3.6;7.16;0.123;12.52;2.36;3.50;<0,001;;0.236;2.370
9;Huhnerberg_50;Y;Y;25/07/2023;63;186.6;µs/cm;186.60;7.02;47.88;44.351;4.529;7.702;7.702;52.409;52.053;mg/l;28/jul/23;Lien;;59;1.2;1.19;1.127;0.0004;1.45;0.28;6.3;12.1;15.73;0.139;16.56;5.46;3.12;<0,001;;0.043;3.547
10;Lime_02;Y;N;25/07/2023;63;217.7;µs/cm;217.70;7.42;25.901;22.372;11.079;14.252;14.252;36.9805;36.6245;mg/l;28/jul/23;Lien;;84;1.7;1.69;0.966;0.0007;2.52;0.66;<4;5.4;14.56;0.101;27.27;5.36;2.26;<0,001;;0.028;2.282
11;Control;Y;Y;25/07/2023;63;85.76;µs/cm;85.76;6.93;19.997;16.468;1.9375;5.1105;5.1105;21.9345;21.5785;mg/l;28/jul/23;Lien;;42;0.8;0.84;0.577;0.0006;0.54;0.25;<4;3.3;7.43;0.089;9.32;1.73;1.84;<0,001;;0.256;2.205
