"rbf..","sample.ID","date.fractionation","Plot","Sampling_year","SOM_fraction","mass.filter.s.","mass.filter.s.....dried.som","mass.som.on.filter","mass.som.on.filter.corr","mass.soil","mass.soil.corr","mass.rbf...som.fraction.freeze.dried","mass.som.fraction","total.mass.som.fractions","moisture_content","mass_rbf","Tmt","App_rate","Basalt_type_exp","Dose_resp_exp","recovery_percent","fraction_prop","core_id","Ctotal","Ntotal","CN","C_bulk","N_bulk","CN_bulk","Cprop","Nprop"
19,"6_2025_MAOM","05/03/2026",6,2025,"MAOM",NA,NA,"#VALUE!",0,9.01,8.94580661518,186.12,8.81999999999999,9.03100000000001,0.007124682,177.3,"Lime","2","Y","N",100.952327593081,97.6636031447236,"6_2025",1.56,0.12,13,2.455962823,0.470408161333333,5.34560732092079,62.0348237680831,24.913752227743
122,"7_2025_fPOM","20/03/2026",7,2025,"fPOM",0.107,0.119,"0.012",0.012,9.14,9.06460955088,107.581,0.046999999999997,9.44999999999999,0.008248408,107.546,"Huhnerberg","8","N","Y",104.251594588347,0.497354497354467,"7_2025",17.69569206,1.035994768,17.0808701033903,2.22225751466667,0.571799775333333,6.24295913194713,3.96040151591561,0.901113780256605
128,"7_2025_oPOM","20/03/2026",7,2025,"oPOM",0.107,0.365,"0.258",0.258,9.14,9.06460955088,103.803,0.492999999999995,9.44999999999999,0.008248408,103.568,"Huhnerberg","8","N","Y",104.251594588347,5.21693121693117,"7_2025",16.4,0.99,16.5656565656566,2.22225751466667,0.571799775333333,6.24295913194713,38.5003409339375,9.03246578183952
127,"7_2025_MAOM","20/03/2026",7,2025,"MAOM",NA,NA,"#VALUE!",0,9.14,9.06460955088,184,8.91,9.44999999999999,0.008248408,175.09,"Huhnerberg","8","N","Y",104.251594588347,94.2857142857144,"7_2025",1.32,0.1,13.2,2.22225751466667,0.571799775333333,6.24295913194713,56.0048248394882,16.489288445549
125,"8_2025_fPOM","20/03/2026",8,2025,"fPOM",0.109,0.124,"0.015",0.015,9.06,8.99480249142,105.825,0.0649999999999977,9.24900000000001,0.007196193,105.775,"Huhnerberg","12","N","Y",102.826048807881,0.702778678776059,"8_2025",15.37314892,0.949081898,16.1979160622448,2.05554005766667,0.256234070333333,8.15634065019868,5.25600133469994,2.60306727149526
117,"8_2025_oPOM","20/03/2026",8,2025,"oPOM",0.108,0.312,"0.204",0.204,9.06,8.99480249142,97.706,0.384,9.24900000000001,0.007196193,97.526,"Huhnerberg","12","N","Y",102.826048807881,4.15180019461563,"8_2025",15.25,0.99,15.4040404040404,2.05554005766667,0.256234070333333,8.15634065019868,30.8021012442637,16.0411228191569
78,"8_2025_MAOM","20/03/2026",8,2025,"MAOM",NA,NA,"#VALUE!",0,9.06,8.99480249142,184.3,8.80000000000001,9.24900000000001,0.007196193,175.5,"Huhnerberg","12","N","Y",102.826048807881,95.1454211266083,"8_2025",1.22,0.1,12.2,2.05554005766667,0.256234070333333,8.15634065019868,56.4705189478169,37.1322287480483
25,"9_2025_fPOM","05/03/2026",9,2025,"fPOM",0.107,0.12,"0.013",0.013,9.05,8.99426983755,104.056,0.222999999999999,9.24900000000001,0.006158029,103.846,"Huhnerberg","50","N","Y",102.832138317516,2.41107146718563,"9_2025",9.190379143,0.62626487,14.6749076680606,1.93755045233333,0.840417438666667,2.32654949283326,11.436430415332,1.7966897038135
37,"9_2025_oPOM","05/03/2026",9,2025,"oPOM",0.109,0.275,"0.166",0.166,9.05,8.99426983755,172.86,0.286000000000001,9.24900000000001,0.006158029,172.74,"Huhnerberg","50","N","Y",102.832138317516,3.09222618661478,"9_2025",32.71,2.2,14.8681818181818,1.93755045233333,0.840417438666667,2.32654949283326,52.2033985965948,8.09466498142329
16,"9_2025_MAOM","05/03/2026",9,2025,"MAOM",NA,NA,"#VALUE!",0,9.05,8.99426983755,181.8,8.74000000000001,9.24900000000001,0.006158029,173.06,"Huhnerberg","50","N","Y",102.832138317516,94.4967023461996,"9_2025",0.8,0.06,13.3333333333333,1.93755045233333,0.840417438666667,2.32654949283326,39.0169772280872,6.74641181859243
